permit_id,permit_num,revision_num,permit_type_id,application_date,issued_date,completed_date,est_const_cost,description,dwelling_units_created,dwelling_units_lost,ward_id,structure_type_id,work_type_id,status_id,builder_id,address_id,address_id,street_num,postal,street_id,,,,,,,
25932,23 215635 BLD,0,2,2023-10-18,2023-12-04,NULL,6000.00,Renovation and Interior Alternation,0,0,170,136,67,32,NULL,1,1,1,M1L,94,,,,,,,
2875,16 209409 BLD,0,21,2016-08-18,2016-08-25,NULL,10000.00,"interior alterations, create 2nd suite in basement",0,0,5949,1,73,21,NULL,2,2,1,M1S,16,,,,,,,
4587,16 209409 PLB,0,16,2016-08-18,2016-08-25,NULL,NULL,"Plumbing - interior alterations, create 2nd suite in basement",0,0,5949,1,21,21,NULL,2,2,1,M1S,16,,,,,,,
6647,25 194994 DEM,0,6,2025-07-16,2025-09-19,NULL,0.00,Proposal for the demolition of 6995 Yonge St building to help facilitate for construction laydown area for the Yonge North Subway Extension Project,0,0,25356,110,35,32,NULL,3,3,1,M2M,96,,,,,,,
1105,25 201657 BLD,0,21,2025-07-28,NULL,NULL,10000.00,Proposal to add side door,0,0,60166,165,89,47,NULL,4,4,1,M4C,71,,,,,,,
1878,17 195815 HVA,0,10,2017-07-10,2017-09-07,NULL,NULL,HVAC - Proposal for interior alterations to create a fitness studio in unit C200 of an existing commercial/office building.,0,0,47537,118,20,21,NULL,5,5,1,M4P,27,,,,,,,
4150,19 195655 BLD,0,2,2019-07-25,2019-08-12,NULL,30000.00,Minor interior alteration to 164 square meters of a 1 storey office space.,0,0,47537,118,67,21,NULL,5,5,1,M4P,27,,,,,,,
5544,25 202862 HVA,0,10,2025-07-30,2025-08-25,NULL,NULL,HVAC - Proposal for interior alterations for office fit out.,0,0,47537,118,20,21,NULL,5,5,1,M4P,27,,,,,,,
8997,17 195815 BLD,0,2,2017-07-10,2017-09-07,NULL,120000.00,Proposal for interior alterations to create a fitness studio in unit C200 of an existing commercial/office building.,0,0,47537,118,67,21,NULL,5,5,1,M4P,27,,,,,,,
12746,17 195815 FSU,0,9,2017-07-26,NULL,NULL,NULL,FS - Sprinkler Shop Drawing - Proposal for interior alterations to create a fitness studio in unit C200 of an existing commercial/office building.,0,0,47537,118,19,6,NULL,5,5,1,M4P,27,,,,,,,
12985,25 202862 PLB,0,16,2025-07-30,2025-08-25,NULL,NULL,Plumbing  - Proposal for interior alterations for office fit out.,0,0,47537,118,21,32,NULL,5,5,1,M4P,27,,,,,,,
12992,08 120331 BLD,0,2,2008-03-18,2008-05-07,NULL,150000.00,Interior alterations to existing office suite at the seventh floor.  **Datalist**,0,0,47537,118,67,21,NULL,5,5,1,M4P,27,,,,,,,
16772,17 253224 PSA,0,16,2017-10-25,2017-11-22,NULL,3000.00,Proposal to install one back flow prevention device to unit C200 for zone isolation.,0,0,47537,118,14,21,NULL,5,5,1,M4P,27,,,,,,,
20597,07 109236 BLD,0,2,2007-02-14,2007-10-01,NULL,3000.00,"Interior alteration to portion of existing Office on 5th floor Suite 510, replace double door with single, add employee (convenience) counter and sink. Multi Tenant floor",0,0,47537,118,67,21,NULL,5,5,1,M4P,27,,,,,,,
20952,22 180327 BLD,0,2,2022-07-21,2022-08-09,NULL,96000.00,Proposal for interior alterations to an exsiting office unit (Suite 619) on the 6th floor level for tenant - 'Wolfe Lawyers'.,0,0,47537,118,67,32,NULL,5,5,1,M4P,27,,,,,,,
24497,07 109236 PLB,0,16,2007-02-14,2007-10-01,NULL,NULL,"Plumbing  - Interior alteration to portion of existing Office on 5th floor Suite 510, replace double door with single, add kitchen counter. Multi Tenant floor",0,0,47537,118,21,32,NULL,5,5,1,M4P,27,,,,,,,
25111,25 205275 PSA,0,16,2025-08-05,2025-09-15,NULL,18000.00,"Installation of new kitchen sink, including associated plumbing rough-in and connection to exisitng water supply and drain lines in existing office space. No structrual work involved - UNIT 510",0,0,47537,110,45,32,NULL,5,5,1,M4P,27,,,,,,,
28222,25 202862 BLD,0,2,2025-07-30,2025-08-01,NULL,25000.00,Proposal for interior alterations for office fit out.,0,0,47537,118,67,21,NULL,5,5,1,M4P,27,,,,,,,
96,15 110644 BLD,0,2,2015-01-30,2015-02-09,NULL,10000.00,Proposal for construction of new office space on 5th floor in unit 500 for Scotiabank.  No HVAC or Plumbing happening with this permit.,0,0,49590,118,67,21,NULL,6,6,1,M4T,91,,,,,,,
1257,15 172299 HVA,0,10,2015-06-11,2015-07-13,NULL,NULL,HVAC - Proposal for interior alterations to an existing ground floor bank for a new ABM - Scotiabank.,0,0,49590,118,20,32,NULL,6,6,1,M4T,91,,,,,,,
1322,22 221701 HVA,0,10,2022-10-25,2022-12-02,NULL,NULL,HVAC - interior alterations to public ceiling corridors 9TH FLOOR,0,0,49590,118,20,21,NULL,6,6,1,M4T,91,,,,,,,
4058,16 138377 PLB,0,16,2016-04-11,2016-05-02,NULL,NULL,"Plumbing  - interior alterations to 8th floor Scotiabank""",0,0,49590,118,21,21,NULL,6,6,1,M4T,91,,,,,,,
4110,22 110063 HVA,0,10,2022-02-02,2022-03-02,NULL,NULL,HVAC - Proposal for interior alteration.,0,0,49590,118,20,21,NULL,6,6,1,M4T,91,,,,,,,
4218,10 212953 PLB,0,16,2010-07-06,2010-07-19,NULL,NULL,Plumbing  - Interior alterations to existing office space on the 3rd floor.  Suite 304.,0,0,49590,118,21,21,NULL,6,6,1,M4T,91,,,,,,,
5237,18 231018 BLD,0,2,2018-09-24,2018-10-09,NULL,1200000.00,Proposal for interior alterations to ground floor of existing office building- Scotia Bank Branch,0,0,49590,118,67,21,NULL,6,6,1,M4T,91,,,,,,,
5802,18 231018 HVA,1,10,2020-03-16,2020-05-04,NULL,NULL,Rev 01: Revision to HVAC layout as per bubbled drawingsHVAC - Proposal for interior alterations to ground floor of existing office building- Scotia Bank Branch,0,0,49590,118,20,44,NULL,6,6,1,M4T,91,,,,,,,
6453,22 110063 PLB,0,16,2022-02-02,2022-03-02,NULL,NULL,Plumbing  - Proposal for interior alteration.,0,0,49590,118,21,21,NULL,6,6,1,M4T,91,,,,,,,
10102,06 189560 HVA,0,10,2006-11-09,2006-11-29,NULL,NULL,HVAC - Proposal to construct interior renvoations 9th floor.,0,0,49590,118,20,32,NULL,6,6,1,M4T,91,,,,,,,
10254,20 159505 HVA,0,10,2020-06-23,2020-07-13,NULL,NULL,HVAC - Proposal for interior alterations to 2nd floor of existing office building.,0,0,49590,118,20,21,NULL,6,6,1,M4T,91,,,,,,,
11769,07 137234 HVA,0,10,2007-04-03,2007-04-20,NULL,NULL,HVAC - Minor interior alterations to existing office space on the 10th floor.  Suite 1004.,0,0,49590,118,20,32,NULL,6,6,1,M4T,91,,,,,,,
14030,20 159505 BLD,0,2,2020-06-23,2020-07-13,NULL,350000.00,Proposal for interior alterations to the 2nd floor of an existing office building - 'Scotiabank',0,0,49590,118,67,21,NULL,6,6,1,M4T,91,,,,,,,
16122,19 262892 BLD,0,2,2019-12-18,2020-11-20,NULL,100000.00,"Proposed interior alterations for new fitness studio - F45 Fitness"" - Unit 005.""",0,0,49590,53,67,21,NULL,6,6,1,M4T,91,,,,,,,
16481,19 262892 PLB,0,16,2019-12-18,2020-11-20,NULL,NULL,"Plumbing  - Proposed interior alterations for new fitness studio - F45 Fitness"" - Unit 005.""",0,0,49590,53,21,21,NULL,6,6,1,M4T,91,,,,,,,
18298,15 172299 BLD,0,2,2015-06-11,2015-06-17,NULL,50000.00,Proposal for interior alterations to an existing ground floor bank for a new ABM - Scotiabank.,0,0,49590,118,67,21,NULL,6,6,1,M4T,91,,,,,,,
18528,22 110063 BLD,0,2,2022-02-02,2022-02-15,NULL,100000.00,Proposal for interior alterations to an existing office unit 900 on the 9th floor level for a model suite.,0,0,49590,118,67,21,NULL,6,6,1,M4T,91,,,,,,,
22705,19 262892 HVA,0,10,2020-12-22,2021-01-18,NULL,NULL,"HVAC - Proposed interior alterations for new fitness studio - F45 Fitness"" - Unit 005.""",0,0,49590,53,20,21,NULL,6,6,1,M4T,91,,,,,,,
23159,18 231018 PLB,0,16,2018-09-24,2018-10-23,NULL,NULL,Plumbing  - Proposal for interior alterations to ground floor of existing office building- Scotia Bank Branch,0,0,49590,118,21,21,NULL,6,6,1,M4T,91,,,,,,,
