postal,status_id,status_name,count_status
M1B,21,Inspection,85
M1B,32,"Permit Issued",34
M1B,44,"Revision Issued",7
M1B,6,"Application On Hold",4
M1B,14,"Examiner'S Notice Sent",3
M1B,26,"Not Started",3
M1B,5,"Application Acceptable",2
M1B,31,"Pending Cancellation",1
M1B,27,"Notice Sent",1
M1B,38,"Refusal Notice",1
M1C,21,Inspection,15
M1C,32,"Permit Issued",7
M1C,23,"Issuance Pending",2
M1C,27,"Notice Sent",2
M1C,26,"Not Started",2
M1C,42,"Response Received",1
M1C,49,"Work Not Started",1
M1E,21,Inspection,98
M1E,32,"Permit Issued",42
M1E,44,"Revision Issued",7
M1E,45,"Revocation Pending",4
M1E,38,"Refusal Notice",4
M1E,27,"Notice Sent",2
M1E,5,"Application Acceptable",2
M1E,37,"Ready For Issuance",2
M1E,47,"Under Review",1
M1E,4,"Applicable Law Pending",1
M1G,21,Inspection,32
M1G,32,"Permit Issued",23
M1G,44,"Revision Issued",3
M1G,14,"Examiner'S Notice Sent",1
M1G,47,"Under Review",1
M1G,27,"Notice Sent",1
M1H,21,Inspection,108
M1H,32,"Permit Issued",45
M1H,44,"Revision Issued",6
M1H,23,"Issuance Pending",5
M1H,6,"Application On Hold",5
M1H,14,"Examiner'S Notice Sent",5
M1H,38,"Refusal Notice",2
M1H,27,"Notice Sent",2
M1H,31,"Pending Cancellation",2
M1H,10,Closed,1
M1H,42,"Response Received",1
M1H,49,"Work Not Started",1
M1H,50,"Work Suspended",1
M1J,21,Inspection,92
M1J,32,"Permit Issued",48
M1J,14,"Examiner'S Notice Sent",11
M1J,23,"Issuance Pending",4
M1J,47,"Under Review",3
M1J,27,"Notice Sent",3
M1J,45,"Revocation Pending",3
M1J,44,"Revision Issued",2
M1J,38,"Refusal Notice",1
M1J,6,"Application On Hold",1
M1J,35,"Plan Review Complete",1
M1K,21,Inspection,107
M1K,32,"Permit Issued",37
M1K,14,"Examiner'S Notice Sent",9
M1K,27,"Notice Sent",5
M1K,47,"Under Review",4
M1K,44,"Revision Issued",3
M1K,42,"Response Received",2
M1K,6,"Application On Hold",2
M1K,38,"Refusal Notice",2
M1K,5,"Application Acceptable",1
